interaction_id,merchant_id,date,category,issue,channel,resolution_status,resolution_time_days
INT320632,BPM100797,2025-04-13,Financial,Refund Request,Field Agent,Resolved,4.0
INT780156,BPM100799,2025-05-03,Product,Feature Request,WhatsApp,Resolved,0.0
INT729458,BPM100800,2025-04-04,Financial,Settlement Delay,WhatsApp,Resolved,5.0
INT764361,BPM100800,2025-04-30,Technical,Payment Failed,Phone,Resolved,0.0
INT781777,BPM100800,2025-04-12,Financial,Loan Inquiry,Field Agent,Customer Dropout,
INT309713,BPM100801,2025-01-07,Technical,Soundbox Issues,Phone,Escalated,19.0
INT570836,BPM100801,2025-01-22,Technical,QR Code Not Working,In-App,Resolved,4.0
INT443227,BPM100801,2025-01-21,Technical,QR Code Not Working,Phone,Customer Dropout,
INT434963,BPM100804,2025-03-23,Account,Bank Account Change,In-App,Resolved,3.0
INT736736,BPM100804,2025-04-08,Account,Password Reset,In-App,Escalated,10.0
INT451224,BPM100804,2025-05-13,Product,New Product Inquiry,In-App,Resolved,0.0
INT960417,BPM100805,2025-03-26,Technical,QR Code Not Working,Phone,Resolved,5.0
INT393197,BPM100805,2025-04-08,Account,Password Reset,Field Agent,Resolved,0.0
INT163258,BPM100806,2025-03-11,Account,Bank Account Change,WhatsApp,Pending,3.0
INT464176,BPM100806,2025-02-25,Account,Password Reset,In-App,Escalated,17.0
INT137504,BPM100808,2025-05-17,Product,Pricing Query,WhatsApp,Escalated,8.0
INT319634,BPM100808,2025-04-05,Account,Bank Account Change,Email,Resolved,2.0
INT927737,BPM100808,2025-04-16,Technical,Login Issues,Phone,Escalated,8.0
INT732974,BPM100809,2025-05-10,Product,Pricing Query,Field Agent,Pending,5.0
INT745572,BPM100809,2025-03-24,Technical,QR Code Not Working,Field Agent,Resolved,3.0
INT321322,BPM100810,2025-03-30,Product,Device Replacement,Field Agent,Customer Dropout,
INT570223,BPM100810,2025-05-07,Technical,Payment Failed,Field Agent,Pending,14.0
INT646560,BPM100810,2025-04-12,Financial,Loan Inquiry,Email,Customer Dropout,
INT494109,BPM100810,2025-03-03,Technical,App Crash,Email,Escalated,13.0
INT839214,BPM100811,2025-05-03,Product,Feature Request,In-App,Resolved,0.0
INT767253,BPM100811,2025-05-18,Account,Password Reset,In-App,Resolved,4.0
INT878008,BPM100811,2025-05-17,Account,Account Update,Email,Pending,11.0
INT712948,BPM100812,2025-03-02,Financial,Settlement Delay,In-App,Resolved,2.0
INT923115,BPM100814,2025-04-05,Account,Account Update,In-App,Pending,3.0
INT556161,BPM100814,2025-05-14,Product,New Product Inquiry,In-App,Resolved,4.0
INT933752,BPM100814,2025-03-12,Financial,Settlement Delay,Field Agent,Resolved,0.0
INT322790,BPM100815,2025-04-20,Financial,Transaction Dispute,In-App,Resolved,0.0
INT989518,BPM100816,2025-05-17,Account,Bank Account Change,In-App,Escalated,18.0
INT513242,BPM100816,2025-03-19,Financial,Loan Inquiry,In-App,Resolved,4.0
INT866265,BPM100816,2025-04-27,Account,KYC Verification,Field Agent,Resolved,4.0
INT545715,BPM100817,2025-05-02,Product,Pricing Query,Email,Resolved,3.0
INT257209,BPM100817,2025-03-12,Product,Feature Request,Email,Escalated,18.0
INT674645,BPM100817,2025-05-08,Financial,Transaction Dispute,Field Agent,Resolved,5.0
INT127032,BPM100818,2025-04-13,Financial,Refund Request,Phone,Resolved,4.0
INT432086,BPM100818,2025-04-17,Product,Feature Request,Phone,Resolved,4.0
INT421310,BPM100819,2025-03-29,Technical,Payment Failed,Phone,Escalated,13.0
INT269910,BPM100819,2025-04-13,Financial,Transaction Dispute,In-App,Resolved,5.0
INT567151,BPM100819,2025-03-25,Product,New Product Inquiry,WhatsApp,Resolved,4.0
INT114671,BPM100820,2025-04-15,Product,Feature Request,Phone,Pending,9.0
INT193014,BPM100820,2025-03-06,Technical,QR Code Not Working,Email,Resolved,5.0
INT684307,BPM100821,2025-05-10,Account,Password Reset,In-App,Resolved,0.0
INT968517,BPM100821,2025-02-22,Product,Device Replacement,In-App,Pending,4.0
INT492178,BPM100821,2025-04-29,Product,Device Replacement,WhatsApp,Resolved,1.0
INT984536,BPM100822,2025-05-17,Financial,Transaction Dispute,In-App,Resolved,1.0
INT785001,BPM100822,2025-03-15,Product,Feature Request,WhatsApp,Resolved,3.0
INT436127,BPM100822,2025-05-09,Account,Bank Account Change,Phone,Pending,13.0
INT611750,BPM100823,2025-04-15,Product,Feature Request,In-App,Resolved,5.0
INT608332,BPM100824,2025-03-17,Account,Account Update,WhatsApp,Resolved,5.0
INT715424,BPM100825,2025-03-28,Financial,Transaction Dispute,Email,Pending,7.0
INT504608,BPM100825,2025-02-25,Technical,Login Issues,Phone,Resolved,2.0
INT388784,BPM100825,2025-05-10,Account,Password Reset,WhatsApp,Resolved,3.0
INT967200,BPM100826,2025-04-21,Financial,Refund Request,In-App,Pending,7.0
INT198640,BPM100826,2025-04-18,Technical,Login Issues,Email,Resolved,1.0
INT396298,BPM100827,2025-05-10,Technical,App Crash,In-App,Resolved,1.0
INT733596,BPM100827,2025-03-06,Product,Device Replacement,In-App,Pending,8.0
INT573196,BPM100829,2025-05-08,Account,Password Reset,Phone,Resolved,4.0
INT637092,BPM100829,2025-04-02,Financial,Transaction Dispute,In-App,Resolved,1.0
INT242227,BPM100829,2025-03-10,Product,New Product Inquiry,Phone,Resolved,0.0
INT472240,BPM100830,2025-02-21,Financial,Settlement Delay,Field Agent,Customer Dropout,
INT466235,BPM100830,2025-05-14,Account,Password Reset,WhatsApp,Resolved,0.0
INT904234,BPM100830,2025-03-14,Product,New Product Inquiry,Email,Resolved,3.0
INT889714,BPM100831,2025-04-09,Product,Feature Request,WhatsApp,Pending,8.0
INT551562,BPM100831,2025-02-24,Product,Device Replacement,Email,Resolved,5.0
INT887059,BPM100831,2025-03-21,Product,Feature Request,Phone,Resolved,1.0
INT514420,BPM100832,2025-03-22,Account,Bank Account Change,In-App,Resolved,4.0
INT717698,BPM100832,2025-04-10,Product,Pricing Query,Email,Resolved,0.0
INT182716,BPM100833,2025-05-19,Account,KYC Verification,In-App,Resolved,1.0
INT545871,BPM100834,2025-03-08,Account,KYC Verification,Phone,Resolved,5.0
INT957243,BPM100834,2025-03-11,Financial,Settlement Delay,Email,Customer Dropout,
INT692485,BPM100834,2025-03-23,Account,Bank Account Change,Email,Customer Dropout,
INT326548,BPM100835,2025-04-20,Technical,Login Issues,Email,Resolved,2.0
INT482748,BPM100836,2025-03-21,Account,Bank Account Change,Email,Resolved,3.0
INT572108,BPM100836,2025-04-22,Financial,Refund Request,WhatsApp,Resolved,1.0
INT998847,BPM100836,2025-05-10,Technical,QR Code Not Working,WhatsApp,Resolved,1.0
INT686058,BPM100837,2025-03-14,Financial,Settlement Delay,In-App,Pending,10.0
INT605210,BPM100838,2025-04-09,Financial,Loan Inquiry,In-App,Resolved,3.0
INT120500,BPM100838,2025-05-17,Technical,Login Issues,WhatsApp,Pending,8.0
INT943531,BPM100838,2025-03-17,Technical,QR Code Not Working,Field Agent,Resolved,4.0
INT475597,BPM100838,2025-05-01,Account,Bank Account Change,Email,Escalated,10.0
INT530388,BPM100840,2025-03-16,Product,Pricing Query,WhatsApp,Resolved,4.0
INT287960,BPM100840,2025-04-29,Product,Pricing Query,Field Agent,Resolved,5.0
INT493995,BPM100841,2025-04-05,Technical,App Crash,Field Agent,Pending,9.0
INT728166,BPM100841,2025-03-31,Account,Account Update,In-App,Escalated,7.0
INT212830,BPM100842,2025-05-07,Product,Feature Request,In-App,Pending,15.0
INT522239,BPM100842,2025-03-03,Account,Account Update,Email,Resolved,4.0
INT845789,BPM100843,2025-04-07,Account,KYC Verification,Field Agent,Resolved,4.0
INT239698,BPM100843,2025-05-12,Financial,Loan Inquiry,Email,Resolved,0.0
INT706062,BPM100844,2025-03-28,Product,Device Replacement,Email,Resolved,0.0
INT616359,BPM100844,2025-04-10,Financial,Refund Request,In-App,Pending,3.0
INT444486,BPM100845,2025-03-05,Account,Account Update,Phone,Resolved,0.0
INT498227,BPM100845,2025-03-04,Account,Account Update,Phone,Resolved,4.0
INT858309,BPM100846,2025-02-24,Product,Feature Request,Phone,Pending,12.0
INT383957,BPM100846,2025-05-03,Financial,Transaction Dispute,Phone,Resolved,5.0
INT908516,BPM100847,2025-05-16,Account,Bank Account Change,Phone,Resolved,0.0
INT568289,BPM100847,2025-03-06,Account,Password Reset,Email,Resolved,4.0
INT664073,BPM100848,2025-05-18,Technical,Login Issues,WhatsApp,Resolved,2.0
INT781192,BPM100848,2025-04-30,Technical,App Crash,WhatsApp,Resolved,0.0
INT810192,BPM100848,2025-05-13,Technical,QR Code Not Working,Phone,Resolved,4.0
INT157363,BPM100848,2025-05-14,Financial,Transaction Dispute,WhatsApp,Pending,13.0
INT211581,BPM100849,2025-05-10,Technical,Soundbox Issues,Field Agent,Resolved,4.0
INT129987,BPM100849,2025-04-02,Technical,Payment Failed,In-App,Escalated,18.0
INT952406,BPM100850,2025-03-17,Account,Password Reset,WhatsApp,Escalated,20.0
INT742152,BPM100850,2025-04-13,Account,Account Update,In-App,Resolved,0.0
INT118751,BPM100850,2025-02-20,Technical,QR Code Not Working,Phone,Resolved,1.0
INT939877,BPM100851,2025-05-15,Financial,Settlement Delay,Email,Resolved,0.0
INT814459,BPM100851,2025-03-09,Account,Bank Account Change,Phone,Pending,14.0
INT411194,BPM100852,2025-03-26,Financial,Loan Inquiry,Email,Resolved,2.0
INT356547,BPM100853,2025-03-25,Financial,Transaction Dispute,Phone,Customer Dropout,
INT778235,BPM100854,2025-05-15,Account,KYC Verification,Field Agent,Resolved,1.0
INT722620,BPM100856,2025-04-26,Account,Account Update,In-App,Resolved,4.0
INT516795,BPM100856,2025-05-08,Product,New Product Inquiry,Phone,Resolved,2.0
INT680330,BPM100857,2025-04-08,Product,Feature Request,Field Agent,Resolved,5.0
INT673590,BPM100859,2025-05-19,Product,Device Replacement,Field Agent,Resolved,0.0
INT293770,BPM100859,2025-05-06,Account,Account Update,Field Agent,Escalated,9.0
INT441825,BPM100859,2025-03-15,Technical,QR Code Not Working,WhatsApp,Escalated,20.0
INT198041,BPM100860,2025-02-19,Account,KYC Verification,Field Agent,Pending,7.0
INT306289,BPM100860,2025-03-02,Account,Bank Account Change,Field Agent,Resolved,4.0
INT507543,BPM100861,2025-04-12,Product,Device Replacement,Phone,Resolved,1.0
INT194150,BPM100861,2025-03-20,Technical,Payment Failed,Email,Resolved,5.0
INT975704,BPM100862,2025-03-22,Financial,Transaction Dispute,Phone,Pending,9.0
INT646505,BPM100862,2025-04-11,Financial,Loan Inquiry,WhatsApp,Escalated,16.0
INT463048,BPM100863,2025-04-02,Account,Account Update,Phone,Escalated,18.0
INT251458,BPM100863,2025-03-31,Product,Feature Request,Email,Resolved,3.0
INT895355,BPM100865,2025-03-16,Financial,Refund Request,Phone,Resolved,5.0
INT669144,BPM100867,2025-03-14,Technical,Soundbox Issues,WhatsApp,Resolved,5.0
INT748739,BPM100867,2025-03-13,Financial,Settlement Delay,WhatsApp,Resolved,2.0
INT422918,BPM100867,2025-04-16,Financial,Refund Request,Field Agent,Pending,10.0
INT260992,BPM100868,2025-04-18,Account,Bank Account Change,Field Agent,Resolved,1.0
INT651682,BPM100868,2025-04-25,Account,KYC Verification,Email,Resolved,4.0
INT141527,BPM100869,2025-04-09,Financial,Refund Request,WhatsApp,Resolved,1.0
INT571703,BPM100870,2025-04-15,Account,KYC Verification,Phone,Resolved,3.0
INT406388,BPM100871,2025-05-07,Account,Account Update,Phone,Resolved,0.0
INT781223,BPM100871,2025-04-15,Technical,App Crash,In-App,Resolved,3.0
INT772550,BPM100872,2025-05-14,Account,KYC Verification,Field Agent,Resolved,4.0
INT657292,BPM100872,2025-03-29,Financial,Refund Request,In-App,Resolved,2.0
INT839313,BPM100872,2025-02-20,Account,Account Update,Field Agent,Resolved,2.0
INT637705,BPM100873,2025-03-29,Account,Account Update,Phone,Resolved,2.0
INT985182,BPM100873,2025-02-18,Account,Account Update,WhatsApp,Pending,13.0
INT714892,BPM100873,2025-04-02,Technical,QR Code Not Working,In-App,Resolved,2.0
INT670688,BPM100874,2025-04-22,Financial,Refund Request,In-App,Escalated,17.0
INT149659,BPM100874,2025-04-05,Financial,Transaction Dispute,In-App,Resolved,1.0
INT521223,BPM100875,2025-02-11,Financial,Loan Inquiry,Email,Resolved,1.0
INT491569,BPM100875,2025-02-08,Product,New Product Inquiry,Phone,Resolved,0.0
INT164977,BPM100876,2025-03-12,Product,Device Replacement,Field Agent,Resolved,3.0
INT644852,BPM100876,2025-05-02,Account,Bank Account Change,Phone,Resolved,3.0
INT288085,BPM100878,2025-03-19,Technical,Soundbox Issues,Email,Resolved,1.0
INT744079,BPM100879,2025-03-28,Account,Bank Account Change,In-App,Resolved,5.0
INT866343,BPM100879,2025-03-18,Financial,Loan Inquiry,Phone,Resolved,5.0
INT204139,BPM100879,2025-04-20,Account,Account Update,Field Agent,Resolved,0.0
INT692947,BPM100881,2025-04-16,Product,Device Replacement,Email,Pending,4.0
INT451358,BPM100881,2025-02-20,Product,Feature Request,WhatsApp,Pending,15.0
INT121475,BPM100881,2025-02-21,Account,Bank Account Change,Phone,Resolved,5.0
INT313451,BPM100883,2025-03-14,Technical,Login Issues,Field Agent,Resolved,3.0
INT347109,BPM100883,2025-02-20,Account,Bank Account Change,Field Agent,Escalated,17.0
INT105266,BPM100883,2025-04-01,Financial,Refund Request,Phone,Resolved,2.0
INT580254,BPM100884,2025-02-28,Product,Pricing Query,In-App,Pending,12.0
INT665893,BPM100885,2025-03-20,Product,Feature Request,Email,Escalated,15.0
INT421554,BPM100885,2025-05-07,Technical,Login Issues,Phone,Resolved,1.0
INT987646,BPM100886,2025-03-27,Product,Pricing Query,Field Agent,Resolved,3.0
INT387845,BPM100886,2025-04-19,Account,KYC Verification,In-App,Resolved,2.0
INT529335,BPM100887,2025-05-04,Product,Pricing Query,Email,Resolved,4.0
INT782935,BPM100888,2025-04-06,Product,New Product Inquiry,Email,Pending,14.0
INT309811,BPM100888,2025-05-16,Product,Feature Request,Phone,Resolved,3.0
INT975210,BPM100888,2025-03-31,Product,New Product Inquiry,Field Agent,Resolved,4.0
INT937317,BPM100889,2025-04-03,Technical,App Crash,In-App,Resolved,0.0
INT153549,BPM100889,2025-05-16,Financial,Loan Inquiry,WhatsApp,Resolved,4.0
INT347706,BPM100889,2025-04-01,Financial,Loan Inquiry,WhatsApp,Resolved,1.0
INT385935,BPM100889,2025-04-01,Technical,Payment Failed,Email,Pending,6.0
INT353921,BPM100890,2025-05-17,Account,KYC Verification,Field Agent,Pending,15.0
INT512566,BPM100890,2025-03-22,Product,Pricing Query,In-App,Resolved,4.0
INT659351,BPM100891,2025-04-24,Product,New Product Inquiry,In-App,Escalated,16.0
INT916380,BPM100891,2025-04-27,Financial,Transaction Dispute,Field Agent,Resolved,0.0
INT835974,BPM100893,2025-02-27,Product,Pricing Query,Phone,Resolved,2.0
INT357344,BPM100893,2025-03-28,Technical,QR Code Not Working,Field Agent,Pending,5.0
INT258327,BPM100894,2025-02-19,Financial,Transaction Dispute,WhatsApp,Resolved,3.0
INT737319,BPM100894,2025-03-09,Technical,Payment Failed,Phone,Pending,10.0
INT219633,BPM100894,2025-04-19,Product,Pricing Query,Email,Resolved,2.0
INT333168,BPM100895,2025-04-27,Account,Bank Account Change,Phone,Pending,9.0
INT113480,BPM100895,2025-03-07,Product,Device Replacement,WhatsApp,Resolved,2.0
INT323798,BPM100896,2025-05-18,Account,Password Reset,WhatsApp,Pending,7.0
INT384424,BPM100896,2025-03-17,Technical,Soundbox Issues,Phone,Escalated,13.0
INT294678,BPM100896,2025-02-23,Technical,App Crash,WhatsApp,Resolved,1.0
INT781553,BPM100896,2025-03-06,Technical,Payment Failed,In-App,Resolved,0.0
INT751586,BPM100897,2025-03-28,Product,Pricing Query,Email,Pending,11.0
INT580948,BPM100897,2025-05-18,Account,KYC Verification,Field Agent,Resolved,0.0
INT946073,BPM100898,2025-04-26,Account,Account Update,Email,Pending,15.0
INT651455,BPM100898,2025-05-04,Technical,Payment Failed,Field Agent,Resolved,3.0
INT761969,BPM100898,2025-05-02,Account,Password Reset,Field Agent,Pending,13.0
INT380660,BPM100899,2025-02-24,Technical,QR Code Not Working,WhatsApp,Resolved,1.0
INT869678,BPM100900,2025-03-28,Financial,Transaction Dispute,WhatsApp,Pending,6.0
INT594610,BPM100900,2025-05-02,Technical,App Crash,WhatsApp,Pending,5.0
INT982237,BPM100900,2025-05-11,Financial,Refund Request,Phone,Pending,10.0
INT716672,BPM100901,2025-04-06,Financial,Loan Inquiry,WhatsApp,Pending,6.0
INT709870,BPM100903,2025-04-26,Account,Password Reset,Field Agent,Escalated,20.0
INT353187,BPM100903,2025-05-13,Account,Account Update,WhatsApp,Pending,3.0
INT194319,BPM100904,2025-04-09,Account,Account Update,Phone,Escalated,20.0
INT835422,BPM100905,2025-02-26,Financial,Loan Inquiry,Field Agent,Pending,7.0
INT510521,BPM100905,2025-04-05,Account,KYC Verification,WhatsApp,Resolved,1.0
INT291683,BPM100908,2025-04-10,Technical,Login Issues,Phone,Resolved,4.0
INT596803,BPM100908,2025-04-11,Account,Account Update,Field Agent,Pending,8.0
INT308647,BPM100909,2025-05-15,Financial,Refund Request,In-App,Pending,10.0
INT962604,BPM100909,2025-05-01,Product,New Product Inquiry,In-App,Resolved,5.0
INT691431,BPM100909,2025-05-15,Technical,App Crash,Email,Resolved,4.0
INT733283,BPM100911,2025-04-09,Financial,Refund Request,In-App,Resolved,3.0
INT836634,BPM100912,2025-02-20,Account,Password Reset,Field Agent,Customer Dropout,
INT629798,BPM100912,2025-04-18,Account,KYC Verification,WhatsApp,Resolved,1.0
INT679982,BPM100914,2025-05-10,Product,New Product Inquiry,Phone,Resolved,0.0
INT705059,BPM100916,2025-04-18,Technical,QR Code Not Working,Email,Resolved,5.0
INT985559,BPM100916,2025-03-15,Technical,Payment Failed,Phone,Customer Dropout,
INT589872,BPM100916,2025-04-28,Financial,Refund Request,In-App,Resolved,3.0
INT800725,BPM100917,2025-04-16,Product,New Product Inquiry,Field Agent,Resolved,0.0
INT271935,BPM100917,2025-05-17,Technical,App Crash,Email,Pending,11.0
INT981739,BPM100919,2025-02-26,Technical,QR Code Not Working,WhatsApp,Pending,10.0
INT695405,BPM100919,2025-02-21,Financial,Settlement Delay,Field Agent,Resolved,4.0
INT376610,BPM100919,2025-04-02,Account,Bank Account Change,WhatsApp,Resolved,0.0
INT611860,BPM100920,2025-03-22,Product,Feature Request,WhatsApp,Resolved,2.0
INT549832,BPM100921,2025-04-22,Product,Feature Request,Phone,Resolved,0.0
INT188690,BPM100922,2025-02-23,Technical,Payment Failed,Field Agent,Pending,12.0
INT384175,BPM100922,2025-04-26,Product,Device Replacement,Email,Customer Dropout,
INT110548,BPM100922,2025-05-16,Technical,Payment Failed,WhatsApp,Resolved,1.0
INT819931,BPM100923,2025-03-22,Financial,Transaction Dispute,In-App,Escalated,7.0
INT278622,BPM100923,2025-02-28,Product,Device Replacement,Field Agent,Resolved,1.0
INT449077,BPM100923,2025-04-10,Financial,Settlement Delay,Phone,Resolved,3.0
INT105827,BPM100925,2025-03-29,Financial,Loan Inquiry,Field Agent,Escalated,18.0
INT222220,BPM100925,2025-02-24,Financial,Settlement Delay,WhatsApp,Pending,10.0
INT490129,BPM100926,2025-02-24,Product,Pricing Query,Field Agent,Resolved,5.0
INT799303,BPM100926,2025-03-27,Account,Password Reset,In-App,Pending,11.0
INT634125,BPM100926,2025-04-09,Product,Device Replacement,Phone,Resolved,4.0
INT129657,BPM100927,2025-03-05,Financial,Transaction Dispute,Email,Resolved,1.0
INT460629,BPM100927,2025-05-07,Product,New Product Inquiry,Phone,Pending,3.0
INT648063,BPM100928,2025-03-10,Product,Feature Request,Phone,Resolved,0.0
INT196831,BPM100929,2025-03-26,Product,Device Replacement,Phone,Resolved,4.0
INT284767,BPM100929,2025-04-15,Product,Feature Request,Phone,Pending,7.0
INT410307,BPM100929,2025-02-26,Financial,Refund Request,WhatsApp,Resolved,2.0
INT792469,BPM100931,2025-03-08,Account,Password Reset,Field Agent,Pending,8.0
INT561685,BPM100931,2025-05-04,Product,New Product Inquiry,WhatsApp,Resolved,1.0
INT976082,BPM100932,2025-04-26,Product,Pricing Query,Field Agent,Pending,4.0
INT913388,BPM100932,2025-04-26,Product,Pricing Query,In-App,Resolved,2.0
INT598835,BPM100932,2025-05-03,Product,New Product Inquiry,WhatsApp,Resolved,2.0
INT967258,BPM100933,2025-03-23,Product,Pricing Query,In-App,Resolved,4.0
INT703046,BPM100933,2025-03-06,Product,Device Replacement,Field Agent,Pending,6.0
INT883436,BPM100933,2025-05-12,Financial,Settlement Delay,Phone,Resolved,5.0
INT840809,BPM100934,2025-04-20,Technical,Login Issues,WhatsApp,Resolved,4.0
INT475801,BPM100934,2025-04-30,Product,Device Replacement,WhatsApp,Resolved,3.0
INT298369,BPM100935,2025-04-14,Technical,Soundbox Issues,Phone,Resolved,5.0
INT666478,BPM100936,2025-03-23,Technical,Payment Failed,Field Agent,Pending,9.0
INT514909,BPM100936,2025-02-26,Technical,Soundbox Issues,Phone,Escalated,16.0
INT424694,BPM100936,2025-04-08,Product,New Product Inquiry,Phone,Escalated,7.0
INT186378,BPM100936,2025-03-23,Technical,Soundbox Issues,Email,Resolved,3.0
INT141607,BPM100937,2025-02-19,Product,New Product Inquiry,Phone,Resolved,1.0
INT514909,BPM100938,2025-02-19,Financial,Settlement Delay,Email,Resolved,1.0
INT861252,BPM100938,2025-03-08,Technical,Soundbox Issues,Phone,Pending,15.0
INT371612,BPM100939,2025-03-16,Financial,Settlement Delay,Phone,Resolved,4.0
INT834955,BPM100939,2025-03-30,Technical,Payment Failed,In-App,Resolved,1.0
INT478602,BPM100939,2025-05-19,Product,Feature Request,In-App,Pending,6.0
INT246995,BPM100941,2025-03-27,Account,Bank Account Change,Email,Resolved,3.0
INT544344,BPM100942,2025-03-19,Financial,Loan Inquiry,Email,Resolved,4.0
INT786391,BPM100942,2025-03-16,Financial,Transaction Dispute,Email,Resolved,1.0
INT241324,BPM100943,2025-03-28,Product,Device Replacement,Email,Resolved,4.0
INT226322,BPM100944,2025-04-27,Account,Bank Account Change,WhatsApp,Resolved,2.0
INT285115,BPM100944,2025-04-03,Technical,App Crash,Field Agent,Resolved,4.0
INT773539,BPM100945,2025-02-24,Product,New Product Inquiry,WhatsApp,Resolved,3.0
INT685343,BPM100946,2025-02-21,Technical,Payment Failed,WhatsApp,Customer Dropout,
INT209536,BPM100947,2025-02-26,Account,Password Reset,WhatsApp,Resolved,4.0
INT684927,BPM100948,2025-02-24,Account,Account Update,Email,Escalated,16.0
INT811425,BPM100948,2025-03-13,Technical,App Crash,Field Agent,Resolved,2.0
INT226461,BPM100949,2025-03-04,Product,Feature Request,WhatsApp,Escalated,18.0
INT378472,BPM100949,2025-05-01,Financial,Refund Request,Field Agent,Resolved,4.0
INT233740,BPM100950,2025-04-25,Account,Account Update,Email,Resolved,4.0
INT372125,BPM100950,2025-04-14,Account,Bank Account Change,Phone,Resolved,0.0
INT564520,BPM100951,2025-02-25,Technical,Payment Failed,WhatsApp,Resolved,0.0
INT160530,BPM100952,2025-04-25,Financial,Loan Inquiry,Email,Resolved,4.0
INT953651,BPM100952,2025-03-28,Product,Feature Request,WhatsApp,Escalated,14.0
INT447151,BPM100952,2025-05-08,Financial,Refund Request,WhatsApp,Resolved,3.0
INT591270,BPM100953,2025-03-02,Financial,Settlement Delay,In-App,Resolved,4.0
INT995846,BPM100953,2025-03-16,Account,KYC Verification,In-App,Resolved,3.0
INT938913,BPM100954,2025-03-08,Product,New Product Inquiry,In-App,Resolved,2.0
INT423340,BPM100955,2025-04-01,Account,Account Update,Field Agent,Resolved,0.0
INT492395,BPM100956,2025-05-10,Product,Device Replacement,In-App,Pending,14.0
INT326667,BPM100957,2025-04-24,Account,Bank Account Change,Phone,Resolved,3.0
INT944690,BPM100957,2025-04-02,Account,Password Reset,Phone,Pending,3.0
INT395559,BPM100957,2025-04-24,Financial,Loan Inquiry,Email,Pending,3.0
INT866924,BPM100960,2025-02-18,Account,Account Update,Email,Resolved,5.0
INT470564,BPM100960,2025-05-14,Account,Account Update,Phone,Pending,13.0
INT738364,BPM100961,2025-03-22,Product,Device Replacement,WhatsApp,Customer Dropout,
INT420192,BPM100961,2025-02-22,Technical,Login Issues,Phone,Resolved,3.0
INT951183,BPM100963,2024-11-10,Financial,Loan Inquiry,WhatsApp,Resolved,0.0
INT513174,BPM100963,2024-12-02,Account,Bank Account Change,Phone,Resolved,3.0
INT271364,BPM100963,2024-11-22,Technical,Payment Failed,WhatsApp,Resolved,5.0
INT728379,BPM100963,2024-11-13,Technical,Login Issues,In-App,Resolved,2.0
INT994889,BPM100964,2025-05-06,Account,Account Update,In-App,Pending,14.0
INT298221,BPM100964,2025-04-29,Account,Bank Account Change,Field Agent,Resolved,4.0
INT511722,BPM100964,2025-03-30,Account,Bank Account Change,Field Agent,Resolved,2.0
INT560818,BPM100965,2025-04-07,Financial,Settlement Delay,WhatsApp,Resolved,5.0
INT319428,BPM100965,2025-05-16,Financial,Transaction Dispute,In-App,Resolved,2.0
INT668238,BPM100965,2025-03-09,Financial,Loan Inquiry,Field Agent,Resolved,3.0
INT461377,BPM100967,2025-04-29,Account,Bank Account Change,In-App,Resolved,3.0
INT873522,BPM100967,2025-04-18,Technical,App Crash,Email,Resolved,3.0
INT958439,BPM100968,2025-03-19,Financial,Settlement Delay,WhatsApp,Resolved,2.0
INT326071,BPM100968,2025-05-03,Account,Bank Account Change,WhatsApp,Resolved,3.0
INT401982,BPM100968,2025-03-17,Product,Feature Request,WhatsApp,Pending,5.0
INT803524,BPM100969,2025-03-12,Account,Password Reset,WhatsApp,Resolved,4.0
INT979868,BPM100969,2025-03-13,Technical,QR Code Not Working,Phone,Pending,8.0
INT718689,BPM100969,2025-03-20,Account,Password Reset,WhatsApp,Resolved,3.0
INT805203,BPM100970,2025-04-14,Account,Bank Account Change,Phone,Resolved,4.0
INT423227,BPM100971,2025-04-20,Financial,Transaction Dispute,Field Agent,Resolved,3.0
INT860021,BPM100971,2025-04-27,Financial,Settlement Delay,Phone,Resolved,3.0
INT584352,BPM100972,2025-03-04,Account,Bank Account Change,Phone,Resolved,4.0
INT462385,BPM100972,2025-03-20,Product,New Product Inquiry,Phone,Resolved,4.0
INT307351,BPM100972,2025-03-10,Technical,QR Code Not Working,Phone,Resolved,5.0
INT820727,BPM100974,2025-03-02,Product,Feature Request,WhatsApp,Resolved,1.0
INT106073,BPM100974,2025-04-18,Financial,Loan Inquiry,Email,Resolved,3.0
INT600146,BPM100974,2025-02-22,Account,KYC Verification,In-App,Resolved,4.0
INT354098,BPM100977,2025-03-27,Product,Device Replacement,Email,Pending,5.0
INT921699,BPM100977,2025-05-05,Account,KYC Verification,Field Agent,Pending,14.0
INT862452,BPM100977,2025-03-24,Account,KYC Verification,WhatsApp,Resolved,0.0
INT723495,BPM100978,2025-05-10,Account,Account Update,Phone,Pending,8.0
INT182232,BPM100979,2025-04-07,Account,Account Update,In-App,Pending,4.0
INT153357,BPM100979,2025-03-26,Account,Bank Account Change,WhatsApp,Resolved,3.0
INT871917,BPM100980,2025-04-12,Technical,Login Issues,Phone,Pending,15.0
INT574735,BPM100983,2025-04-08,Account,Password Reset,Phone,Resolved,0.0
INT603257,BPM100983,2025-04-24,Financial,Transaction Dispute,In-App,Escalated,8.0
INT314625,BPM100984,2025-02-22,Technical,Soundbox Issues,Phone,Customer Dropout,
INT172697,BPM100984,2025-02-09,Technical,Soundbox Issues,In-App,Pending,4.0
INT768611,BPM100985,2025-05-17,Account,Bank Account Change,WhatsApp,Escalated,16.0
