merchant_id,business_name,business_category,subcategory,state,district,city,tier,pin_code,onboarding_date,acquisition_channel,device_type,active_status,last_transaction_date,qr_displayed,soundbox_adopted,swipe_machine,loans_taken,current_loan_status,monthly_transaction_count,monthly_transaction_value,avg_ticket_size
BPM101475,Lata & Co.,Retail,General Store,Maharashtra,Aurangabad,Aurangabad,Tier 3,433505,2022-08-03,Field Sales,Android Mid-Range,Active,2025-04-28,Yes,No,No,0,No Loan,529,70364,133.01
BPM101476,Brahmbhatt Enterprise,Food & Beverage,Tea Stall,Uttar Pradesh,Lucknow,Lucknow,Tier 2,223598,2023-06-06,Digital Marketing,Android Low-End,Active,2025-04-28,Yes,Yes,Yes,0,No Loan,946,177896,188.05
BPM101477,Venkataraman Junction,Wholesale,Grocery Wholesale,Rajasthan,Jaipur,Jaipur,Tier 1,330822,2023-02-22,Field Sales,Android High-End,Active,2025-05-18,Yes,Yes,Yes,0,No Loan,101,791339,7835.04
BPM101478,Gunbir Center,Food & Beverage,Juice Center,Delhi,East Delhi,East Delhi,Tier 1,110037,2022-07-13,Referral,Android Mid-Range,Active,2025-05-08,Yes,Yes,No,0,No Loan,1315,226822,172.49
BPM101479,Wali Traders,Retail,General Store,Gujarat,Ahmedabad,Ahmedabad,Tier 2,391100,2023-12-31,Field Sales,Android Mid-Range,Active,2025-05-07,Yes,No,No,0,No Loan,580,127441,219.73
BPM101480,Gupta Store,Wholesale,Textile Wholesale,Tamil Nadu,Coimbatore,Coimbatore,Tier 3,607033,2023-01-13,Digital Marketing,Android Low-End,Dormant,2025-03-30,Yes,No,No,0,No Loan,97,299434,3086.95
BPM101481,Gola Junction,Retail,Medical Store,Karnataka,Bangalore Urban,Bangalore Urban,Tier 3,571753,2023-12-01,Merchant Event,Android High-End,Active,2025-04-29,Yes,Yes,No,1,Active,313,51276,163.82
BPM101482,Cherian Mart,Wholesale,Stationery Wholesale,Uttar Pradesh,Meerut,Meerut,Tier 3,271319,2023-06-22,Digital Marketing,Android Low-End,Active,2025-05-18,Yes,No,No,0,No Loan,122,336247,2756.12
BPM101483,Chawla Emporium,Food & Beverage,Bakery,Rajasthan,Jaipur,Jaipur,Tier 2,303252,2024-01-06,Partner Bank,Android Mid-Range,Active,2025-05-04,Yes,Yes,Yes,3,Paid,890,161006,180.91
BPM101484,Gole Traders,Wholesale,Grocery Wholesale,Karnataka,Belgaum,Belgaum,Tier 1,571573,2022-06-12,Digital Marketing,Android Mid-Range,Active,2025-04-27,Yes,No,No,1,Active,227,733839,3232.77
BPM101485,Neelima Point,Food & Beverage,Fast Food,Karnataka,Mysore,Mysore,Tier 3,571692,2023-04-17,Field Sales,Android Low-End,Active,2025-04-29,Yes,No,Yes,0,No Loan,811,111216,137.13
BPM101486,Geetika Dukan,Retail,General Store,Maharashtra,Nashik,Nashik,Tier 3,416081,2024-05-02,Field Sales,Android Low-End,Active,2025-04-20,Yes,Yes,No,0,No Loan,741,56007,75.58
BPM101487,Divya Enterprise,Retail,Medical Store,Punjab,Amritsar,Amritsar,Tier 3,143567,2022-10-21,Field Sales,Android Mid-Range,Active,2025-05-05,Yes,No,No,0,No Loan,353,123745,350.55
BPM101488,Qushi Emporium,Wholesale,Textile Wholesale,West Bengal,Howrah,Howrah,Tier 2,713017,2023-04-12,Field Sales,Android Low-End,Active,2025-05-14,Yes,Yes,No,0,No Loan,91,464602,5105.52
BPM101489,Kala Center,Food & Beverage,Dhaba,Maharashtra,Nagpur,Nagpur,Tier 2,431014,2022-08-31,Referral,Android Mid-Range,Dormant,2025-03-28,Yes,No,No,0,No Loan,531,178193,335.58
BPM101490,Keya Enterprise,Food & Beverage,Dhaba,Delhi,North Delhi,North Delhi,Tier 3,110092,2024-04-15,Field Sales,Android Mid-Range,Active,2025-05-10,Yes,No,No,0,No Loan,554,91078,164.4
BPM101491,Jagvi Emporium,Wholesale,Grocery Wholesale,Punjab,Jalandhar,Jalandhar,Tier 3,163683,2023-01-13,Field Sales,Android Mid-Range,Active,2025-05-11,Yes,No,Yes,1,Active,127,220612,1737.1
BPM101492,Sara Mart,Food & Beverage,Sweet Shop,Punjab,Patiala,Patiala,Tier 2,159419,2023-04-30,Field Sales,Android Low-End,Active,2025-05-09,Yes,No,No,2,Active,615,182244,296.33
BPM101493,Aadi Emporium,Retail,Clothing,Gujarat,Surat,Surat,Tier 2,390759,2023-03-01,Digital Marketing,Android Low-End,Active,2025-05-09,Yes,Yes,No,0,No Loan,396,179373,452.96
BPM101494,Babu Point,Food & Beverage,Cafe,Gujarat,Surat,Surat,Tier 2,393015,2023-08-25,Field Sales,Android Mid-Range,Active,2025-05-04,Yes,No,Yes,0,No Loan,1315,153187,116.49
BPM101495,Zarna Store,Wholesale,Stationery Wholesale,Rajasthan,Ajmer,Ajmer,Tier 2,316204,2022-11-23,Field Sales,Android Low-End,Active,2025-05-09,No,No,No,0,No Loan,182,249428,1370.48
BPM101496,Chasmum Shop,Retail,General Store,Gujarat,Surat,Surat,Tier 2,361782,2023-02-24,Field Sales,Android Mid-Range,Active,2025-05-05,Yes,Yes,No,2,Active,855,114229,133.6
BPM101497,Barad & Co.,Services,Travel Agency,Tamil Nadu,Salem,Salem,Tier 3,610786,2023-03-06,App Store Download,Android Mid-Range,Active,2025-05-03,Yes,Yes,No,0,No Loan,226,35564,157.36
BPM101498,Subramanian Point,Retail,Mobile Shop,Gujarat,Surat,Surat,Tier 1,395044,2022-07-25,Field Sales,Android Low-End,Active,2025-04-19,Yes,Yes,Yes,0,No Loan,543,203517,374.8
BPM101499,Mital & Sons,Wholesale,Stationery Wholesale,Gujarat,Rajkot,Rajkot,Tier 2,363009,2022-07-02,Field Sales,Android High-End,Active,2025-04-25,Yes,Yes,No,2,Active,198,445544,2250.22
BPM101500,Baljiwan Store,Retail,Mobile Shop,Punjab,Bathinda,Bathinda,Tier 3,142119,2023-05-22,Digital Marketing,Android Mid-Range,Active,2025-04-24,Yes,Yes,No,4,Active,482,61259,127.09
BPM101501,Farhan Store,Retail,Grocery,West Bengal,Durgapur,Durgapur,Tier 2,724836,2022-07-09,App Store Download,Android Low-End,Active,2025-05-17,Yes,Yes,No,0,No Loan,608,135126,222.25
BPM101502,Jai Traders,Food & Beverage,Sweet Shop,Punjab,Bathinda,Bathinda,Tier 1,159240,2023-01-25,Field Sales,Android Low-End,Active,2025-05-07,Yes,No,No,2,Paid,1406,239359,170.24
BPM101503,Raja Emporium,Retail,Electronics,Punjab,Amritsar,Amritsar,Tier 3,155876,2022-10-06,Field Sales,Android Low-End,Active,2025-05-11,Yes,No,No,0,No Loan,206,90446,439.06
BPM101504,Mody Junction,Food & Beverage,Restaurant,Maharashtra,Nagpur,Nagpur,Tier 2,423394,2023-03-31,Field Sales,Android Mid-Range,Active,2025-05-06,Yes,Yes,Yes,2,Active,939,226951,241.69
BPM101505,Narain Shop,Wholesale,Grocery Wholesale,Maharashtra,Mumbai City,Mumbai City,Tier 3,426083,2023-08-17,Field Sales,Android Low-End,Active,2025-05-02,Yes,Yes,No,4,Active,59,183570,3111.36
BPM101506,Kant Shop,Food & Beverage,Juice Center,Gujarat,Rajkot,Rajkot,Tier 3,371286,2023-08-14,Digital Marketing,Android Mid-Range,Dormant,2025-04-16,Yes,No,No,0,No Loan,759,139222,183.43
BPM101507,Maya Enterprise,Wholesale,Grocery Wholesale,Delhi,West Delhi,West Delhi,Tier 1,110022,2023-05-09,Merchant Event,Android High-End,Active,2025-05-16,Yes,Yes,Yes,2,Paid,148,608868,4113.97
BPM101508,Chana Mart,Wholesale,Stationery Wholesale,Punjab,Amritsar,Amritsar,Tier 3,148332,2023-04-28,Digital Marketing,Android Low-End,Active,2025-04-20,Yes,Yes,No,0,No Loan,67,191720,2861.49
BPM101509,Sankaran Emporium,Retail,Clothing,Gujarat,Vadodara,Vadodara,Tier 2,377711,2023-09-13,Merchant Event,Android High-End,Active,2025-05-17,Yes,Yes,No,0,No Loan,414,139025,335.81
BPM101510,Bimala Store,Retail,Mobile Shop,Uttar Pradesh,Agra,Agra,Tier 3,209488,2023-05-06,Field Sales,Android Mid-Range,Active,2025-05-08,Yes,No,No,0,No Loan,402,63658,158.35
BPM101511,Deo Dukan,Food & Beverage,Bakery,Karnataka,Hubli,Hubli,Tier 1,561068,2022-12-03,App Store Download,Android Mid-Range,Active,2025-05-12,Yes,No,Yes,2,Active,1368,223638,163.48
BPM101512,Butala Mart,Services,Electronics Repair,West Bengal,Durgapur,Durgapur,Tier 3,730002,2022-07-09,Digital Marketing,Android Mid-Range,Active,2025-04-29,Yes,Yes,No,0,No Loan,116,52222,450.19
BPM101513,Bawa Center,Food & Beverage,Dhaba,Maharashtra,Aurangabad,Aurangabad,Tier 3,421648,2023-11-02,Field Sales,Android Low-End,Active,2025-05-07,Yes,No,No,0,No Loan,911,101425,111.33
BPM101514,Vinaya Mart,Food & Beverage,Cafe,Tamil Nadu,Coimbatore,Coimbatore,Tier 3,612413,2024-05-02,App Store Download,Android High-End,Churned,2025-01-08,Yes,No,Yes,0,No Loan,1067,88872,83.29
BPM101515,Rohan Traders,Wholesale,Textile Wholesale,Delhi,North Delhi,North Delhi,Tier 3,110001,2022-12-17,App Store Download,Android High-End,Active,2025-04-29,Yes,Yes,No,2,Active,60,255050,4250.83
BPM101516,Kibe Dukaan,Retail,General Store,Delhi,North Delhi,North Delhi,Tier 2,110016,2022-12-31,Field Sales,iPhone,Active,2025-04-20,Yes,No,No,0,No Loan,461,93541,202.91
BPM101517,Ekbal Enterprise,Food & Beverage,Dhaba,Punjab,Jalandhar,Jalandhar,Tier 2,141625,2022-07-04,Referral,Android Mid-Range,Dormant,2025-04-17,Yes,Yes,No,2,Paid,1285,110605,86.07
BPM101518,Odika Emporium,Wholesale,Textile Wholesale,Karnataka,Hubli,Hubli,Tier 3,584213,2022-12-31,Digital Marketing,Android Low-End,Active,2025-05-03,Yes,No,Yes,2,Active,119,212906,1789.13
BPM101519,Rayaan Dukan,Services,Salon,Karnataka,Mysore,Mysore,Tier 2,570747,2023-02-18,Field Sales,Android Mid-Range,Active,2025-05-10,Yes,No,Yes,0,No Loan,149,90240,605.64
BPM101520,Gara Shop,Wholesale,Textile Wholesale,Karnataka,Mysore,Mysore,Tier 3,573100,2022-10-17,Digital Marketing,Android Mid-Range,Active,2025-05-09,Yes,No,Yes,2,Paid,105,280670,2673.05
BPM101521,Sastry Enterprises,Food & Beverage,Bakery,Punjab,Amritsar,Amritsar,Tier 3,149265,2022-10-09,App Store Download,Android Low-End,Churned,2025-04-07,Yes,No,No,0,No Loan,595,65454,110.01
BPM101522,Kaur Center,Services,Tailor,Tamil Nadu,Chennai,Chennai,Tier 1,625410,2023-03-14,Field Sales,Android Mid-Range,Dormant,2025-03-15,No,Yes,Yes,0,No Loan,381,100463,263.68
BPM101523,Prakash Emporium,Services,Salon,Maharashtra,Nagpur,Nagpur,Tier 2,407217,2023-02-13,Field Sales,Android Mid-Range,Active,2025-05-06,Yes,No,Yes,0,No Loan,338,51585,152.62
BPM101524,Isaiah Junction,Food & Beverage,Tea Stall,Gujarat,Surat,Surat,Tier 2,383691,2022-10-21,Field Sales,Android Mid-Range,Active,2025-04-24,Yes,No,Yes,1,Active,688,105897,153.92
BPM101525,Divan Emporium,Retail,Stationery,Maharashtra,Nagpur,Nagpur,Tier 2,430855,2023-11-03,App Store Download,Android Low-End,Active,2025-04-23,Yes,No,No,5,Active,450,92354,205.23
BPM101526,Atwal Mart,Retail,Grocery,Punjab,Amritsar,Amritsar,Tier 1,150395,2022-06-05,Referral,Android High-End,Active,2025-05-08,Yes,No,No,2,Active,374,124920,334.01
BPM101527,Jani Shop,Retail,Mobile Shop,Gujarat,Vadodara,Vadodara,Tier 3,380806,2023-09-29,Referral,Android Low-End,Active,2025-05-17,Yes,No,No,0,No Loan,381,88234,231.59
BPM101528,Badami Mart,Retail,Grocery,Gujarat,Vadodara,Vadodara,Tier 2,360800,2022-10-22,Field Sales,Android Mid-Range,Active,2025-05-15,Yes,No,No,0,No Loan,711,81349,114.41
BPM101529,Krisha Shop,Services,Mobile Repair,West Bengal,Kolkata,Kolkata,Tier 1,708002,2023-02-08,Field Sales,Android Mid-Range,Active,2025-05-15,Yes,No,No,0,No Loan,326,128476,394.1
BPM101530,Iyer Mart,Services,Salon,Gujarat,Ahmedabad,Ahmedabad,Tier 1,374700,2023-05-20,Field Sales,Android High-End,Dormant,2025-03-02,Yes,No,No,0,No Loan,338,78066,230.96
BPM101531,Anand Emporium,Services,Printing Services,Rajasthan,Jaipur,Jaipur,Tier 2,314664,2023-03-23,Partner Bank,Android Low-End,Active,2025-04-28,Yes,No,No,0,No Loan,284,74168,261.15
BPM101532,Bahl Mart,Services,Mobile Repair,Uttar Pradesh,Agra,Agra,Tier 3,283719,2022-12-31,Partner Bank,Android Mid-Range,Active,2025-04-22,Yes,Yes,No,0,No Loan,139,77204,555.42
BPM101533,Chaudhary Industries,Services,Electronics Repair,Tamil Nadu,Chennai,Chennai,Tier 1,633969,2022-12-08,Referral,Android High-End,Churned,2025-01-19,Yes,No,No,0,No Loan,401,104409,260.37
BPM101534,Grewal Emporium,Retail,Grocery,West Bengal,Kolkata,Kolkata,Tier 1,727919,2023-02-13,Field Sales,Android Low-End,Active,2025-04-23,Yes,Yes,No,0,No Loan,932,133767,143.53
BPM101535,Tella Traders,Food & Beverage,Sweet Shop,Delhi,West Delhi,West Delhi,Tier 3,110077,2023-09-11,Digital Marketing,Android Mid-Range,Dormant,2025-04-19,Yes,No,No,0,No Loan,375,64549,172.13
BPM101536,Bains Enterprises,Services,Travel Agency,West Bengal,Kolkata,Kolkata,Tier 1,712417,2023-06-06,Field Sales,Android Low-End,Active,2025-04-27,Yes,Yes,No,3,Paid,234,134584,575.15
BPM101537,Kota Shop,Retail,Hardware,Rajasthan,Ajmer,Ajmer,Tier 1,329841,2022-09-26,Field Sales,Android Mid-Range,Active,2025-04-22,Yes,Yes,No,0,No Loan,429,159068,370.79
BPM101538,Ramaswamy Dukaan,Food & Beverage,Fast Food,Tamil Nadu,Coimbatore,Coimbatore,Tier 2,632018,2024-01-17,Field Sales,Android High-End,Active,2025-04-24,Yes,Yes,Yes,1,Active,1149,104982,91.37
BPM101539,Badami Enterprise,Wholesale,Electronics Wholesale,Maharashtra,Pune,Pune,Tier 1,417048,2022-08-12,Referral,Android High-End,Active,2025-05-14,Yes,Yes,Yes,1,Paid,234,516994,2209.38
BPM101540,Isha Shop,Wholesale,Textile Wholesale,Tamil Nadu,Trichy,Trichy,Tier 1,623151,2023-10-31,Merchant Event,Android High-End,Active,2025-05-14,Yes,No,No,0,No Loan,187,531205,2840.67
BPM101541,Anya Mart,Food & Beverage,Restaurant,West Bengal,Siliguri,Siliguri,Tier 3,736641,2023-06-26,Field Sales,Android High-End,Active,2025-05-16,Yes,No,No,0,No Loan,520,141959,273.0
BPM101542,Doshi Center,Services,Printing Services,Maharashtra,Pune,Pune,Tier 2,423335,2022-08-17,Referral,Android Mid-Range,Active,2025-04-25,Yes,No,No,0,No Loan,283,102665,362.77
BPM101543,Chahal & Co.,Services,Salon,Tamil Nadu,Madurai,Madurai,Tier 1,627929,2023-09-30,Partner Bank,Android Mid-Range,Active,2025-04-21,Yes,No,No,0,No Loan,360,76985,213.85
BPM101544,Verma & Co.,Wholesale,Textile Wholesale,Uttar Pradesh,Meerut,Meerut,Tier 2,232099,2023-07-03,Referral,Android High-End,Active,2025-05-19,Yes,Yes,No,0,No Loan,70,286831,4097.59
BPM101545,Utkarsh Center,Food & Beverage,Restaurant,Maharashtra,Nagpur,Nagpur,Tier 2,424318,2023-05-27,App Store Download,Android Mid-Range,Active,2025-05-15,Yes,No,No,1,Paid,1218,97632,80.16
BPM101546,Karan Shop,Wholesale,Stationery Wholesale,Maharashtra,Nagpur,Nagpur,Tier 2,414342,2022-10-27,App Store Download,Android Mid-Range,Active,2025-04-30,Yes,No,No,0,No Loan,57,323780,5680.35
BPM101547,Lakshit Store,Retail,Mobile Shop,West Bengal,Asansol,Asansol,Tier 1,717059,2023-03-08,Field Sales,Android High-End,Active,2025-04-24,No,Yes,No,2,Active,1280,107072,83.65
BPM101548,Lakshit Center,Retail,Medical Store,Delhi,West Delhi,West Delhi,Tier 3,110094,2022-11-11,Field Sales,Android Mid-Range,Active,2025-05-08,Yes,Yes,No,3,Active,291,76971,264.51
BPM101549,Sani Shop,Services,Tailor,Punjab,Bathinda,Bathinda,Tier 2,154441,2023-04-19,Partner Bank,Android Low-End,Active,2025-05-07,Yes,Yes,No,1,Active,232,111413,480.23
BPM101550,Maanav Mart,Services,Salon,Delhi,New Delhi,New Delhi,Tier 2,110084,2022-09-10,Field Sales,Android High-End,Active,2025-05-19,Yes,No,No,0,No Loan,311,43201,138.91
BPM101551,Eesha Mart,Retail,Electronics,Gujarat,Surat,Surat,Tier 2,366653,2024-02-20,Field Sales,Android High-End,Active,2025-05-10,No,Yes,No,0,No Loan,742,66301,89.35
BPM101552,Jagat Emporium,Services,Salon,Punjab,Ludhiana,Ludhiana,Tier 3,148234,2023-03-25,Field Sales,Android Mid-Range,Active,2025-05-12,Yes,No,Yes,0,No Loan,187,50264,268.79
BPM101553,Nagar Point,Services,Salon,Delhi,West Delhi,West Delhi,Tier 3,110067,2023-01-08,Digital Marketing,Android Mid-Range,Active,2025-04-21,No,No,No,0,No Loan,73,61481,842.21
BPM101554,Odika Junction,Food & Beverage,Fast Food,Rajasthan,Ajmer,Ajmer,Tier 3,330803,2023-06-13,Field Sales,Android Mid-Range,Dormant,2025-03-16,Yes,No,No,0,No Loan,585,50742,86.74
BPM101555,Savant Shop,Retail,Electronics,Gujarat,Ahmedabad,Ahmedabad,Tier 1,365348,2024-02-06,Digital Marketing,Android Mid-Range,Active,2025-05-13,Yes,Yes,No,0,No Loan,839,163653,195.06
BPM101556,Karan Store,Food & Beverage,Dhaba,Delhi,New Delhi,New Delhi,Tier 3,110055,2022-11-15,Referral,Android Mid-Range,Active,2025-04-23,No,Yes,No,0,No Loan,826,75885,91.87
BPM101557,Loke Center,Services,Mobile Repair,Punjab,Jalandhar,Jalandhar,Tier 2,144331,2023-08-16,Digital Marketing,iPhone,Active,2025-04-26,Yes,No,No,0,No Loan,213,120837,567.31
BPM101558,Vihaan Junction,Retail,Mobile Shop,Maharashtra,Aurangabad,Aurangabad,Tier 3,421886,2023-04-06,Field Sales,Android Mid-Range,Active,2025-05-03,Yes,No,Yes,0,No Loan,573,77247,134.81
BPM101559,Buch Dukaan,Retail,Electronics,West Bengal,Durgapur,Durgapur,Tier 3,726416,2023-02-09,App Store Download,Android High-End,Active,2025-04-28,Yes,Yes,Yes,0,No Loan,455,78049,171.54
BPM101560,Desai Emporium,Wholesale,Stationery Wholesale,Gujarat,Vadodara,Vadodara,Tier 2,374675,2022-06-18,Field Sales,Android Low-End,Active,2025-05-17,Yes,Yes,No,1,Paid,134,552105,4120.19
BPM101561,Aurora & Co.,Retail,Stationery,Gujarat,Rajkot,Rajkot,Tier 1,391223,2023-05-17,Referral,Android Mid-Range,Dormant,2025-04-06,Yes,No,No,0,No Loan,808,132162,163.57
BPM101562,Sachar Enterprise,Services,Salon,Delhi,West Delhi,West Delhi,Tier 2,110075,2023-08-03,Referral,Android High-End,Active,2025-05-18,No,No,No,0,No Loan,105,52309,498.18
BPM101563,Bhatti Industries,Services,Tailor,Tamil Nadu,Salem,Salem,Tier 3,623412,2023-11-07,Field Sales,Android Low-End,Active,2025-04-29,Yes,Yes,Yes,0,No Loan,245,61491,250.98
BPM101564,Sarna Dukan,Food & Beverage,Dhaba,Uttar Pradesh,Agra,Agra,Tier 3,225934,2023-08-11,App Store Download,Android Mid-Range,Active,2025-04-27,Yes,No,Yes,0,No Loan,780,115333,147.86
BPM101565,Rai & Sons,Wholesale,Stationery Wholesale,West Bengal,Howrah,Howrah,Tier 1,734509,2023-01-28,Field Sales,Android Low-End,Active,2025-05-18,Yes,Yes,No,0,No Loan,133,630226,4738.54
BPM101566,Dhriti Emporium,Food & Beverage,Tea Stall,Maharashtra,Nashik,Nashik,Tier 3,404526,2022-10-18,Field Sales,Android Low-End,Active,2025-05-03,Yes,Yes,No,0,No Loan,670,126005,188.07
BPM101567,Verma Shop,Services,Electronics Repair,Delhi,Central Delhi,Central Delhi,Tier 1,110092,2022-06-23,Merchant Event,Android Mid-Range,Active,2025-05-18,Yes,No,No,0,No Loan,379,112661,297.26
BPM101568,Seth & Sons,Food & Beverage,Restaurant,Gujarat,Ahmedabad,Ahmedabad,Tier 1,392746,2023-08-24,Digital Marketing,Android High-End,Active,2025-05-05,Yes,No,Yes,0,No Loan,974,367380,377.19
BPM101569,Basak Industries,Food & Beverage,Sweet Shop,Karnataka,Belgaum,Belgaum,Tier 1,580204,2023-05-19,Referral,Android Low-End,Active,2025-05-11,Yes,No,No,4,Active,1486,297445,200.16
BPM101570,Baral Junction,Retail,Hardware,West Bengal,Siliguri,Siliguri,Tier 1,702027,2023-03-02,Partner Bank,Android Mid-Range,Dormant,2025-02-18,Yes,No,No,0,No Loan,534,70681,132.36
BPM101571,Chandran Dukan,Services,Electronics Repair,Gujarat,Ahmedabad,Ahmedabad,Tier 1,381452,2022-10-15,Field Sales,Android Mid-Range,Active,2025-05-07,Yes,No,No,0,No Loan,286,110020,384.69
BPM101572,Mitali Shop,Retail,Medical Store,Delhi,South Delhi,South Delhi,Tier 2,110100,2022-07-23,Merchant Event,Android High-End,Active,2025-05-09,Yes,No,No,0,No Loan,338,89346,264.34
BPM101573,Gole Emporium,Wholesale,Stationery Wholesale,West Bengal,Asansol,Asansol,Tier 3,709499,2024-03-08,Merchant Event,Android Low-End,Active,2025-05-12,Yes,Yes,Yes,0,No Loan,41,365632,8917.85
BPM101574,Ramaswamy Shop,Food & Beverage,Bakery,Uttar Pradesh,Meerut,Meerut,Tier 3,261919,2024-01-04,Digital Marketing,Android Mid-Range,Dormant,2025-04-03,Yes,No,Yes,3,Paid,820,120059,146.41
BPM101575,Setty & Co.,Services,Tailor,Maharashtra,Thane,Thane,Tier 3,436280,2024-04-08,Field Sales,iPhone,Active,2025-05-04,Yes,Yes,No,1,Paid,312,50521,161.93
BPM101576,Saksham Point,Food & Beverage,Bakery,Uttar Pradesh,Meerut,Meerut,Tier 3,263606,2024-02-18,Referral,Android High-End,Active,2025-05-01,Yes,No,Yes,0,No Loan,692,157358,227.4
BPM101577,Krishna Traders,Food & Beverage,Sweet Shop,Punjab,Amritsar,Amritsar,Tier 3,142968,2023-03-03,Digital Marketing,Android Mid-Range,Active,2025-04-22,Yes,Yes,Yes,0,No Loan,567,110490,194.87
BPM101578,Chand Store,Retail,Electronics,Gujarat,Surat,Surat,Tier 2,389994,2022-10-17,Field Sales,Android Low-End,Active,2025-05-07,Yes,Yes,Yes,0,No Loan,993,117457,118.28
BPM101579,Vaidya & Sons,Food & Beverage,Sweet Shop,Gujarat,Surat,Surat,Tier 2,363972,2023-01-07,Field Sales,Android Mid-Range,Churned,2025-02-10,Yes,No,No,0,No Loan,770,197216,256.12
BPM101580,Nayak Mart,Food & Beverage,Restaurant,Punjab,Ludhiana,Ludhiana,Tier 3,163314,2022-10-24,App Store Download,iPhone,Active,2025-05-19,Yes,No,No,0,No Loan,370,84527,228.45
BPM101581,Mason Emporium,Services,Mobile Repair,Uttar Pradesh,Kanpur,Kanpur,Tier 3,207560,2022-11-16,Referral,iPhone,Active,2025-05-08,Yes,Yes,No,0,No Loan,63,41773,663.06
BPM101582,Gola Shop,Retail,Hardware,Rajasthan,Jodhpur,Jodhpur,Tier 2,335528,2023-06-08,Field Sales,Android Low-End,Active,2025-05-05,Yes,Yes,Yes,1,Active,362,119612,330.42
BPM101583,Saini Mart,Wholesale,Electronics Wholesale,West Bengal,Durgapur,Durgapur,Tier 1,736232,2022-10-02,Partner Bank,Android Mid-Range,Active,2025-04-29,Yes,Yes,Yes,1,Active,67,697477,10410.1
BPM101584,Pratyush Point,Wholesale,Textile Wholesale,Uttar Pradesh,Lucknow,Lucknow,Tier 2,243413,2023-04-13,App Store Download,Android Mid-Range,Active,2025-04-21,Yes,Yes,Yes,2,Active,92,358569,3897.49
BPM101585,Tak Dukan,Wholesale,Textile Wholesale,Karnataka,Bangalore Urban,Bangalore Urban,Tier 3,566671,2022-08-24,Field Sales,Android Mid-Range,Active,2025-05-06,Yes,Yes,Yes,4,Active,79,154960,1961.52
BPM101586,Sathe Mart,Retail,Clothing,Rajasthan,Jodhpur,Jodhpur,Tier 3,344157,2023-03-24,Digital Marketing,Android Mid-Range,Active,2025-05-03,Yes,Yes,No,0,No Loan,223,51584,231.32
BPM101587,Ahuja Store,Retail,Stationery,Gujarat,Vadodara,Vadodara,Tier 2,390625,2023-03-03,App Store Download,Android Mid-Range,Active,2025-05-06,No,Yes,No,0,No Loan,597,83120,139.23
BPM101588,Mall Junction,Wholesale,Grocery Wholesale,Karnataka,Bangalore Urban,Bangalore Urban,Tier 1,578489,2024-02-05,Referral,iPhone,Active,2025-05-03,Yes,Yes,Yes,2,Paid,78,759751,9740.4
BPM101589,Palla Enterprises,Wholesale,Grocery Wholesale,Karnataka,Bangalore Urban,Bangalore Urban,Tier 3,573881,2022-09-04,Referral,Android Low-End,Active,2025-05-17,Yes,Yes,No,3,Active,46,382732,8320.26
BPM101590,Dhillon Emporium,Retail,General Store,Rajasthan,Jodhpur,Jodhpur,Tier 2,308081,2022-12-04,Field Sales,Android Mid-Range,Active,2025-04-26,Yes,No,No,0,No Loan,535,104085,194.55
BPM101591,Chahal Dukaan,Wholesale,Textile Wholesale,Uttar Pradesh,Meerut,Meerut,Tier 3,249433,2022-12-16,Field Sales,Android Mid-Range,Dormant,2025-03-05,Yes,No,No,0,No Loan,89,159086,1787.48
BPM101592,Chopra Dukaan,Wholesale,Grocery Wholesale,Rajasthan,Udaipur,Udaipur,Tier 1,315807,2023-09-11,Digital Marketing,Android Low-End,Active,2025-05-17,Yes,No,Yes,0,No Loan,116,592784,5110.21
BPM101593,Shah Emporium,Food & Beverage,Tea Stall,Karnataka,Hubli,Hubli,Tier 3,572704,2023-03-18,Digital Marketing,Android Mid-Range,Dormant,2025-03-16,Yes,Yes,No,0,No Loan,679,137038,201.82
BPM101594,Banik Traders,Wholesale,Stationery Wholesale,Maharashtra,Thane,Thane,Tier 2,419287,2023-06-18,Referral,Android Mid-Range,Active,2025-04-29,Yes,No,No,1,Active,88,291124,3308.23
BPM101595,Sinha Store,Wholesale,Electronics Wholesale,Maharashtra,Aurangabad,Aurangabad,Tier 1,427526,2023-04-11,Field Sales,Android Mid-Range,Active,2025-05-14,Yes,No,Yes,2,Active,97,531087,5475.12
BPM101596,Odika Store,Services,Tailor,Rajasthan,Jaipur,Jaipur,Tier 3,336671,2022-09-17,Field Sales,Android Low-End,Active,2025-04-29,Yes,No,Yes,0,No Loan,280,36661,130.93
BPM101597,Sane Shop,Services,Laundry,Gujarat,Vadodara,Vadodara,Tier 2,381173,2022-11-02,Field Sales,Android Low-End,Active,2025-05-15,Yes,No,No,0,No Loan,235,65238,277.61
BPM101598,Watika Center,Retail,Medical Store,Gujarat,Ahmedabad,Ahmedabad,Tier 3,389323,2023-07-21,Field Sales,Android Low-End,Active,2025-04-29,Yes,Yes,Yes,0,No Loan,507,56996,112.42
BPM101599,Bina Dukan,Retail,Grocery,Tamil Nadu,Salem,Salem,Tier 2,617261,2023-05-17,Digital Marketing,Android High-End,Active,2025-04-21,No,No,No,0,No Loan,449,52109,116.06
BPM101600,Johal Dukaan,Services,Printing Services,Karnataka,Bangalore Urban,Bangalore Urban,Tier 1,573086,2022-12-25,Field Sales,Android Mid-Range,Active,2025-05-05,Yes,Yes,No,0,No Loan,365,40685,111.47
